key,Полная мощность,Время нагрева,Вес добавки
1,0.30513,0.211253,346.38490491826
1,0.765658,0.477438,382.505505189066
1,0.580313,0.43046,407.239421650695
1,0.518496,0.379979,393.062226197537
1,0.867133,0.643691,403.623758432979
2,0.381124,0.220351,386.468753407564
2,0.261665,0.205527,430.638118035597
2,0.710297,0.484962,406.129753986272
2,0.786322,0.542517,409.527604591596
3,1.101678,0.820856,420.872686976247
3,0.542675,0.474673,385.415826843848
3,0.774632,0.50569,395.977620559017
3,1.222963,0.863676,364.64225617575
3,0.421693,0.272562,405.228904031639
4,0.642946,0.516071,402.914625414007
4,0.310693,0.241781,465.927578846924
4,0.887855,0.644479,398.394477673457
4,0.864995,0.654661,445.402152439521
5,0.324563,0.279102,403.009673294684
5,0.57381,0.439417,429.570757790963
5,0.46162,0.308665,420.749634616834
5,0.892957,0.660807,431.964290913776
6,0.390797,0.290488,425.072626643407
6,0.84719,0.562753,397.675146945141
6,0.957252,0.62558,414.345028633499
6,0.530035,0.402492,424.132136362197
7,0.57539,0.373449,417.543631687033
7,0.854873,0.639473,407.149498772662
7,0.588825,0.395404,398.321054166182
7,0.607789,0.552093,428.315184439009
8,0.40198,0.292894,423.047335419789
8,1.244066,1.074537,404.721947137397
8,0.558801,0.382646,387.255284425657
8,0.474111,0.346875,378.808600220247
9,1.100202,0.772495,402.60372601889
9,0.80675,0.610372,412.229605348068
9,0.492036,0.31723,415.64942025044
9,0.467218,0.342799,396.203382155101
9,0.654614,0.484469,433.498863134184
10,0.423798,0.296542,412.84034354586
10,0.627009,0.432609,406.821577047333
10,0.467115,0.313622,383.003048813145
10,0.522005,0.361521,421.36568085308
10,0.502584,0.34044,427.191710645013
10,0.576267,0.410207,407.415423654777
11,0.59495,0.513569,413.800889322112
11,0.359611,0.301657,384.434336541482
11,0.796918,0.609124,415.087448021688
11,0.496545,0.339225,427.336465821747
11,0.755356,0.60535,407.664666130324
12,0.40525,0.306783,434.610674932366
12,0.76947,0.612505,434.211866053112
12,0.510781,0.332135,420.166011866706
12,0.551192,0.395074,429.551931250637
13,0.590984,0.432071,415.906245638063
13,1.123269,0.858183,421.587860176907
13,0.319848,0.266752,395.560089731327
