Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Снизилась,премиум,да,4,689,0.24,Домашний текстиль,2,4707,-985,4,4,8,10
Снизилась,премиум,да,2,980,0.98,Техника для красоты и здоровья,3,4751,-1070,7,5,8,14
Снизилась,премиум,нет,5,931,0.32,Косметика и аксесуары,4,4607,-538,3,4,5,7
Снизилась,стандарт,нет,4,574,0.99,Техника для красоты и здоровья,1,4182,-663,2,2,12,10
Снизилась,стандарт,да,4,511,0.93,Домашний текстиль,3,4484,-44,3,7,7,7
Снизилась,премиум,да,3,413,0.33,Техника для красоты и здоровья,3,4549,-197,2,5,12,8
Снизилась,стандарт,да,4,753,0.3,Кухонная посуда,4,4556,-915,2,1,11,10
Снизилась,стандарт,нет,4,480,0.28,Косметика и аксесуары,1,4341,-138,4,4,7,7
Снизилась,стандарт,да,5,759,0.93,Косметика и аксесуары,2,4909,-239,3,7,11,12
Снизилась,премиум,нет,3,779,0.3,Мелкая бытовая техника и электроника,2,4952,-312,2,4,7,8
Снизилась,стандарт,да,2,476,0.27,Косметика и аксесуары,1,4972,-217,6,5,9,9
Снизилась,стандарт,да,3,706,0.22,Домашний текстиль,2,4805,-714,8,4,6,12
Снизилась,стандарт,да,4,689,0.31,Домашний текстиль,4,4430,-74,2,3,8,6
Снизилась,премиум,да,4,882,0.22,Мелкая бытовая техника и электроника,3,4557,-649,6,3,6,5
Снизилась,премиум,да,4,1007,0.3,Товары для детей,4,4529,-448,3,6,10,13
Снизилась,стандарт,нет,4,304,0.94,Мелкая бытовая техника и электроника,1,4439,-828,3,2,9,11
Снизилась,премиум,да,3,1008,0.3,Косметика и аксесуары,3,4833,-477,3,4,8,10
