group;S, ìì.êâ;Av, ìÄæ/ñ;X, ìì;Y, ìì ;V, ìì/ñ
group_1;87,4;37,6;1,7;22,6;5,8
group_1;44,5;42,44;1,2;22,4;5,2
group_1;227,5;95,8;4;24,5;11,2
group_1;83,3;32,94;1,2;24,6;6,4
group_1;122,3;188,92;2,3;24;13,2
group_1;646,8;106,56;5,2;28,4;9,8
group_1;352,3;79;2,7;27,6;11,2
group_1;45,1;48,81;1,1;22,8;5,5
group_1;120,6;36,16;2,6;23,2;6,6
group_1;21;30,76;0,8;21,8;5,4
group_1;82,1;40,69;1,3;25;6,1
group_1;28,4;55,2;0,9;22,5;7,3
group_1;146,5;52,44;2,2;23,8;7,3
group_1;73,1;42,59;1,2;25,1;7
group_1;402,9;147,46;3,7;26,1;11,4
group_1;29,8;37,35;1,1;22,2;6,6
group_1;92,8;66,76;1,6;24,3;7,7
group_1;203;46,57;3;23,4;7,7
group_1;35,9;40,58;1;22,8;6,3
group_1;136,8;26,41;2,8;23,4;6,3
group_1;240,6;74,69;3;25;9,8
group_1;31,4;19,01;1,2;22;4,4
group_1;200,2;152,2;4,4;24,3;12,3
group_1;81,4;23,48;1,5;24,6;5,8
group_1;42;30,68;1,3;22,7;5,6
group_1;139,7;81,96;2;24,8;8,8
group_1;17,4;38,11;0,9;21,6;4,6
group_1;201,1;74,87;3;24,3;8,3
group_2;99,8;38,44;1,9;23,1;6,2
group_2;137,4;61,08;2,2;23,4;6,7
group_2;56,9;87,18;1,3;23,4;8,8
group_2;35,9;40,58;1;22,8;6,3
group_2;298,4;30,68;3,2;24,3;6,5
group_2;34;25,85;1,4;22;5,9
group_2;47,1;44,19;1,1;23,5;6,4
group_2;309,9;82,54;3,2;24,7;9,7
group_2;81,7;95,07;1,9;23,5;9,7
group_2;69,1;67,27;1,1;23,8;9,2
group_2;59,3;67,53;1,3;22,8;8,1
group_2;117,9;90,51;2,2;24,4;10,3
group_2;76,8;157,53;1,3;24,7;10
group_2;112,9;80,89;1,8;24,5;9,9
group_2;77,9;35,53;1,8;23,4;6,9
group_2;34,1;17,14;1,1;22,6;4,4
group_2;260,5;451,16;3,7;25,4;20,8
group_2;342,4;563,9;6,5;26,1;17,2
group_2;108,2;116,02;1,7;24,8;8,9
group_2;523,4;115,66;4,9;28,5;10,5
group_2;88;12,91;1,6;3,2;3,9
group_2;47;41,13;1,2;3,1;6,4
group_2;47,8;90,05;0,9;4,1;10,6
group_2;80,9;80,8;1,8;3,7;9,3
