день;молоко
понедельник;105
вторник;139
среда;134
четверг;130
пятница;139
суббота;131
воскресенье;10000
понедельник;136
вторник;125
среда;130
четверг;121
пятница;138
суббота;127
воскресенье;112
понедельник;146
вторник;130
среда;140
четверг;141
пятница;122
суббота;139
воскресенье;12600
понедельник;140
вторник;131
среда;123
четверг;128
пятница;134
суббота;122
воскресенье;117
понедельник;140
вторник;123
среда;124
четверг;125
пятница;138
суббота;120
воскресенье;131
понедельник;130
вторник;137
среда;123
четверг;132
пятница;131
суббота;137
воскресенье;123
понедельник;116
вторник;125
среда;119
четверг;132
пятница;130
суббота;129
воскресенье;129
понедельник;139
вторник;125
среда;135
четверг;131
пятница;131
суббота;129
воскресенье;128
понедельник;121
вторник;126
среда;131
четверг;128
пятница;118
суббота;134
воскресенье;130
понедельник;118
вторник;126
среда;131
четверг;136
пятница;133
суббота;108
воскресенье;132
понедельник;123
вторник;116
среда;137
четверг;139
пятница;113
суббота;128
воскресенье;137
понедельник;117
вторник;131
среда;132
четверг;133
пятница;133
суббота;119
воскресенье;129
понедельник;120
вторник;131
среда;123
четверг;130
пятница;135
суббота;125
воскресенье;127
понедельник;125
вторник;111
среда;126
четверг;130
пятница;139
суббота;143
воскресенье;140
понедельник;130
вторник;131
