id;Price;RegistrationYear;Power;Brand;Model;VehicleType
1;480;1993;0;volkswagen;golf;
2;9800;2004;163;jeep;grand;suv
3;1500;2001;75;volkswagen;golf;small
4;3600;2008;69;skoda;fabia;small
5;650;1995;102;bmw;3er;
6;2200;2004;109;peugeot;2_reihe;convertible
7;0;1980;50;volkswagen;other;sedan
8;14500;2014;125;ford;c_max;bus
9;999;1998;101;volkswagen;golf;small
10;2000;2004;105;mazda;3_reihe;sedan
11;2799;2005;140;volkswagen;passat;
12;999;1995;115;volkswagen;passat;wagon
13;2500;2004;131;volkswagen;passat;wagon
14;17999;2011;190;nissan;navara;suv
15;450;1910;0;ford;ka;small
16;300;2016;60;volkswagen;polo;
17;1750;2004;75;renault;twingo;small
18;7550;2007;136;ford;c_max;bus
19;1850;2004;102;mercedes_benz;a_klasse;bus
20;10400;2009;160;volkswagen;scirocco;coupe
21;3699;2002;231;bmw;5er;sedan
22;2900;2018;90;opel;meriva;
23;450;1997;50;seat;arosa;small
24;500;1990;118;mercedes_benz;other;sedan
25;2500;2002;193;bmw;5er;wagon
26;5555;2017;125;citroen;c4;
27;6900;2008;99;honda;civic;sedan
28;1990;1981;50;volkswagen;transporter;bus
29;690;2003;60;fiat;punto;small
30;3300;1995;113;mercedes_benz;e_klasse;sedan
31;899;2016;60;renault;clio;
32;245;1994;0;volkswagen;golf;sedan
33;18000;2007;218;bmw;3er;
34;3500;2004;122;mercedes_benz;e_klasse;sedan
35;350;2016;75;volkswagen;golf;
36;1600;1991;75;opel;kadett;other
37;1500;2016;0;renault;kangoo;
38;11900;2002;129;volkswagen;other;other
39;1500;1984;70;mercedes_benz;other;bus
40;0;1990;0;opel;corsa;
41;7500;2002;306;mercedes_benz;e_klasse;sedan
42;12500;2006;231;bmw;5er;sedan
43;6990;2007;95;mini;one;sedan
44;3900;2008;61;smart;fortwo;small
45;590;1999;75;renault;clio;small
46;7999;2007;177;bmw;1er;sedan
47;2100;1998;193;bmw;5er;wagon
48;7750;2017;80;volkswagen;golf;
49;13500;2012;109;mercedes_benz;b_klasse;bus
50;14800;2008;170;bmw;1er;convertible
51;2000;2017;90;fiat;punto;
52;1400;2016;55;hyundai;other;
53;7999;2008;143;bmw;3er;sedan
54;4700;2005;0;opel;signum;wagon
55;550;1999;0;opel;astra;wagon
56;3000;2006;61;smart;fortwo;convertible
57;2399;2018;64;seat;other;
58;1000;1998;101;volkswagen;golf;sedan
59;200;1995;102;bmw;3er;coupe
60;7499;2004;232;audi;a8;sedan
61;5500;2010;60;skoda;fabia;small
62;7000;2006;105;volkswagen;jetta;sedan
63;14999;2007;218;bmw;3er;convertible
64;10900;2017;101;opel;astra;
65;9700;2008;160;volkswagen;scirocco;coupe
66;2100;2000;105;honda;other;suv
67;1280;1992;109;mercedes_benz;other;sedan
68;1200;2001;0;opel;astra;coupe
69;800;1993;0;volkswagen;polo;small
70;2300;1997;150;bmw;5er;
71;750;2002;50;ford;fiesta;small
72;7999;2008;156;mercedes_benz;c_klasse;wagon
73;6600;2006;105;volkswagen;golf;sedan
74;7999;2013;80;nissan;micra;small
75;1400;2003;82;mercedes_benz;vito;other
76;800;2000;90;volkswagen;golf;
77;5000;2006;109;mercedes_benz;sprinter;bus
78;150;2016;75;opel;astra;
79;250;2000;155;alfa_romeo;156;wagon
80;600;1994;75;ford;escort;sedan
81;3300;2005;150;mercedes_benz;c_klasse;wagon
82;1600;1997;122;subaru;forester;wagon
83;8000;2005;185;volvo;xc_reihe;suv
84;1800;2001;87;mitsubishi;other;bus
85;6800;2009;82;ford;fiesta;small
86;2990;2004;113;renault;scenic;bus
87;1;1995;113;mercedes_benz;e_klasse;sedan
88;2400;2003;0;audi;a4;sedan
89;1222;1984;180;opel;other;sedan
90;250;2000;60;ford;ka;
91;14500;2013;86;audi;a1;small
92;8390;2009;0;opel;insignia;
93;3850;2003;131;volkswagen;passat;sedan
94;6450;2008;84;volkswagen;transporter;bus
95;1700;1999;102;mercedes_benz;a_klasse;small
96;4290;2008;0;opel;combo;bus
97;1500;2006;109;ford;focus;wagon
98;499;1995;101;audi;a4;sedan
99;6500;2004;163;audi;a4;sedan
100;900;1999;125;mercedes_benz;c_klasse;wagon
101;650;1997;102;bmw;3er;sedan
102;300;1992;105;ford;escort;convertible
103;3399;1999;224;audi;tt;coupe
104;1300;1997;101;volkswagen;passat;wagon
105;900;1995;90;honda;civic;
106;7300;2009;235;bmw;5er;sedan
107;8599;2006;200;opel;astra;convertible
108;350;1998;0;opel;corsa;small
109;0;2017;0;volkswagen;golf;
110;5900;2005;178;audi;a6;wagon
111;6300;2002;265;volkswagen;golf;sedan
112;3500;1991;160;volkswagen;other;coupe
113;5950;2006;163;bmw;3er;sedan
114;1699;2003;77;honda;jazz;small
115;4699;1996;110;volkswagen;transporter;bus
116;400;2000;144;opel;omega;sedan
117;9290;2010;86;volkswagen;polo;small
118;7000;2003;120;mercedes_benz;slk;sedan
119;1199;2000;60;renault;twingo;small
120;1750;2002;75;ford;focus;sedan
121;1000;1990;54;volkswagen;golf;sedan
122;1800;1995;286;bmw;7er;sedan
123;8000;2009;0;volkswagen;golf;
124;1100;2003;75;opel;combo;bus
125;2990;2001;170;mercedes_benz;e_klasse;wagon
126;300;2000;54;opel;corsa;small
127;3390;2000;0;bmw;3er;
128;2750;2001;131;volkswagen;passat;wagon
129;6990;2012;75;skoda;fabia;wagon
130;4800;1996;116;audi;80;convertible
131;14499;2007;170;mercedes_benz;c_klasse;sedan
132;4300;2005;90;volkswagen;golf;sedan
133;2499;2003;110;honda;civic;sedan
134;3450;2007;120;alfa_romeo;147;sedan
135;350;1996;122;mercedes_benz;c_klasse;sedan
136;3550;2000;184;bmw;5er;wagon
137;8250;2010;109;ford;c_max;bus
138;800;1998;54;renault;clio;small
139;1500;1996;126;audi;a4;wagon
140;4200;2003;204;bmw;3er;wagon
141;150;1985;0;audi;100;
142;1000;1996;75;volkswagen;golf;small
143;300;2005;0;fiat;punto;
144;800;2004;88;peugeot;3_reihe;sedan
145;2300;2000;160;mercedes_benz;c_klasse;sedan
146;4000;2003;163;audi;a6;wagon
147;0;2004;101;opel;meriva;bus
148;9450;2004;170;bmw;z_reihe;convertible
149;0;2006;0;fiat;other;
150;14500;2017;136;kia;sportage;
151;6890;2003;170;mercedes_benz;c_klasse;sedan
152;7500;2007;194;kia;sorento;suv
153;800;1993;0;volkswagen;golf;sedan
154;1499;2002;140;mercedes_benz;a_klasse;small
155;300;1994;0;mitsubishi;other;small
156;1200;2018;75;opel;astra;
157;850;1989;69;volkswagen;golf;sedan
158;8500;2007;131;volkswagen;transporter;bus
159;300;1998;0;volvo;v40;wagon
160;1500;2000;75;honda;civic;sedan
161;950;1995;115;bmw;5er;sedan
162;3200;2004;64;seat;ibiza;small
163;11890;2011;116;ford;c_max;bus
164;2900;2000;170;bmw;3er;coupe
165;19750;2006;305;ford;mustang;convertible
166;9800;2006;150;volkswagen;eos;convertible
167;1990;2003;80;ford;fiesta;small
168;10500;2006;150;mercedes_benz;vito;bus
169;11000;2012;131;opel;astra;sedan
170;300;1997;0;opel;other;bus
171;2390;2000;197;mercedes_benz;e_klasse;wagon
172;16449;2015;110;skoda;fabia;wagon
173;2999;2001;0;bmw;3er;wagon
174;3000;2016;75;skoda;fabia;
175;14300;2011;120;audi;a4;sedan
176;5999;2009;80;volkswagen;polo;small
177;3700;2003;179;audi;a6;wagon
178;8999;2007;105;volkswagen;touran;bus
179;2790;1992;90;audi;80;sedan
180;13400;2008;170;bmw;3er;sedan
181;4900;2006;102;volkswagen;golf;bus
182;11299;2006;250;volkswagen;golf;sedan
183;550;1997;75;volkswagen;golf;other
184;1400;2006;88;hyundai;getz;small
185;9500;2011;131;opel;insignia;wagon
186;1800;1999;90;volkswagen;golf;wagon
187;2800;2018;75;renault;twingo;
188;3200;2006;0;audi;a3;wagon
