id;Price;RegistrationYear;Power;Brand;Model
1;480;1993;0;volkswagen;golf
2;9800;2004;163;jeep;grand
3;1500;2001;75;volkswagen;golf
4;3600;2008;69;skoda;fabia
5;650;1995;102;bmw;3er
6;2200;2004;109;peugeot;2_reihe
7;0;1980;50;volkswagen;other
8;14500;2014;125;ford;c_max
9;999;1998;101;volkswagen;golf
10;2000;2004;105;mazda;3_reihe
11;2799;2005;140;volkswagen;passat
12;999;1995;115;volkswagen;passat
13;2500;2004;131;volkswagen;passat
14;17999;2011;190;nissan;navara
15;450;1910;0;ford;ka
16;300;2016;60;volkswagen;polo
17;1750;2004;75;renault;twingo
18;7550;2007;136;ford;c_max
19;1850;2004;102;mercedes_benz;a_klasse
20;10400;2009;160;volkswagen;scirocco
21;3699;2002;231;bmw;5er
22;2900;2018;90;opel;meriva
23;450;1997;50;seat;arosa
24;500;1990;118;mercedes_benz;other
25;2500;2002;193;bmw;5er
26;5555;2017;125;citroen;c4
27;6900;2008;99;honda;civic
28;1990;1981;50;volkswagen;transporter
29;690;2003;60;fiat;punto
30;3300;1995;113;mercedes_benz;e_klasse
31;899;2016;60;renault;clio
32;245;1994;0;volkswagen;golf
33;18000;2007;218;bmw;3er
34;3500;2004;122;mercedes_benz;e_klasse
35;350;2016;75;volkswagen;golf
36;1600;1991;75;opel;kadett
37;1500;2016;0;renault;kangoo
38;11900;2002;129;volkswagen;other
39;1500;1984;70;mercedes_benz;other
40;0;1990;0;opel;corsa
41;7500;2002;306;mercedes_benz;e_klasse
42;12500;2006;231;bmw;5er
43;6990;2007;95;mini;one
44;3900;2008;61;smart;fortwo
45;590;1999;75;renault;clio
46;7999;2007;177;bmw;1er
47;2100;1998;193;bmw;5er
48;7750;2017;80;volkswagen;golf
49;13500;2012;109;mercedes_benz;b_klasse
50;14800;2008;170;bmw;1er
51;2000;2017;90;fiat;punto
52;1400;2016;55;hyundai;other
53;7999;2008;143;bmw;3er
54;4700;2005;0;opel;signum
55;550;1999;0;opel;astra
56;3000;2006;61;smart;fortwo
57;2399;2018;64;seat;other
58;1000;1998;101;volkswagen;golf
59;200;1995;102;bmw;3er
60;7499;2004;232;audi;a8
61;5500;2010;60;skoda;fabia
62;7000;2006;105;volkswagen;jetta
63;14999;2007;218;bmw;3er
64;10900;2017;101;opel;astra
65;9700;2008;160;volkswagen;scirocco
66;2100;2000;105;honda;other
67;1280;1992;109;mercedes_benz;other
68;1200;2001;0;opel;astra
69;800;1993;0;volkswagen;polo
70;2300;1997;150;bmw;5er
71;750;2002;50;ford;fiesta
72;7999;2008;156;mercedes_benz;c_klasse
73;6600;2006;105;volkswagen;golf
74;7999;2013;80;nissan;micra
75;1400;2003;82;mercedes_benz;vito
76;800;2000;90;volkswagen;golf
77;5000;2006;109;mercedes_benz;sprinter
78;150;2016;75;opel;astra
80;600;1994;75;ford;escort
81;3300;2005;150;mercedes_benz;c_klasse
82;1600;1997;122;subaru;forester
83;8000;2005;185;volvo;xc_reihe
84;1800;2001;87;mitsubishi;other
85;6800;2009;82;ford;fiesta
86;2990;2004;113;renault;scenic
87;1;1995;113;mercedes_benz;e_klasse
88;2400;2003;0;audi;a4
89;1222;1984;180;opel;other
90;250;2000;60;ford;ka
91;14500;2013;86;audi;a1
92;8390;2009;0;opel;insignia
93;3850;2003;131;volkswagen;passat
94;6450;2008;84;volkswagen;transporter
95;1700;1999;102;mercedes_benz;a_klasse
96;4290;2008;0;opel;combo
97;1500;2006;109;ford;focus
98;499;1995;101;audi;a4
99;6500;2004;163;audi;a4
100;900;1999;125;mercedes_benz;c_klasse
101;650;1997;102;bmw;3er
102;300;1992;105;ford;escort
103;3399;1999;224;audi;tt
104;1300;1997;101;volkswagen;passat
105;900;1995;90;honda;civic
106;7300;2009;235;bmw;5er
107;8599;2006;200;opel;astra
108;350;1998;0;opel;corsa
109;0;2017;0;volkswagen;golf
110;5900;2005;178;audi;a6
111;6300;2002;265;volkswagen;golf
112;3500;1991;160;volkswagen;other
113;5950;2006;163;bmw;3er
114;1699;2003;77;honda;jazz
115;4699;1996;110;volkswagen;transporter
116;400;2000;144;opel;omega
117;9290;2010;86;volkswagen;polo
118;7000;2003;120;mercedes_benz;slk
119;1199;2000;60;renault;twingo
120;1750;2002;75;ford;focus
121;1000;1990;54;volkswagen;golf
122;1800;1995;286;bmw;7er
123;8000;2009;0;volkswagen;golf
124;1100;2003;75;opel;combo
125;2990;2001;170;mercedes_benz;e_klasse
126;300;2000;54;opel;corsa
127;3390;2000;0;bmw;3er
128;2750;2001;131;volkswagen;passat
129;6990;2012;75;skoda;fabia
131;14499;2007;170;mercedes_benz;c_klasse
132;4300;2005;90;volkswagen;golf
133;2499;2003;110;honda;civic
135;350;1996;122;mercedes_benz;c_klasse
136;3550;2000;184;bmw;5er
137;8250;2010;109;ford;c_max
138;800;1998;54;renault;clio
139;1500;1996;126;audi;a4
140;4200;2003;204;bmw;3er
142;1000;1996;75;volkswagen;golf
143;300;2005;0;fiat;punto
144;800;2004;88;peugeot;3_reihe
145;2300;2000;160;mercedes_benz;c_klasse
146;4000;2003;163;audi;a6
147;0;2004;101;opel;meriva
148;9450;2004;170;bmw;z_reihe
149;0;2006;0;fiat;other
150;14500;2017;136;kia;sportage
151;6890;2003;170;mercedes_benz;c_klasse
152;7500;2007;194;kia;sorento
153;800;1993;0;volkswagen;golf
154;1499;2002;140;mercedes_benz;a_klasse
155;300;1994;0;mitsubishi;other
156;1200;2018;75;opel;astra
157;850;1989;69;volkswagen;golf
158;8500;2007;131;volkswagen;transporter
159;300;1998;0;volvo;v40
160;1500;2000;75;honda;civic
161;950;1995;115;bmw;5er
162;3200;2004;64;seat;ibiza
163;11890;2011;116;ford;c_max
164;2900;2000;170;bmw;3er
165;19750;2006;305;ford;mustang
166;9800;2006;150;volkswagen;eos
167;1990;2003;80;ford;fiesta
168;10500;2006;150;mercedes_benz;vito
169;11000;2012;131;opel;astra
170;300;1997;0;opel;other
171;2390;2000;197;mercedes_benz;e_klasse
172;16449;2015;110;skoda;fabia
173;2999;2001;0;bmw;3er
174;3000;2016;75;skoda;fabia
175;14300;2011;120;audi;a4
176;5999;2009;80;volkswagen;polo
177;3700;2003;179;audi;a6
178;8999;2007;105;volkswagen;touran
180;13400;2008;170;bmw;3er
181;4900;2006;102;volkswagen;golf
182;11299;2006;250;volkswagen;golf
183;550;1997;75;volkswagen;golf
184;1400;2006;88;hyundai;getz
185;9500;2011;131;opel;insignia
186;1800;1999;90;volkswagen;golf
187;2800;2018;75;renault;twingo
188;3200;2006;0;audi;a3
189;1350;2002;60;ford;ka
190;11000;2006;231;bmw;5er
191;1999;2016;110;nissan;almera
192;6900;2006;163;renault;megane
193;1600;1996;0;bmw;7er
194;12999;2008;179;audi;a6
195;18400;2011;313;bmw;5er
196;999;1995;75;volkswagen;other
197;12899;2009;140;audi;a3
198;10500;2010;143;bmw;3er
199;2250;2001;41;smart;fortwo
200;8500;2010;80;volkswagen;golf
201;14900;2007;265;bmw;1er
202;500;1994;75;volkswagen;golf
203;1200;2002;45;volkswagen;lupo
204;1250;1996;125;audi;a3
205;370;1992;54;volkswagen;polo
206;1000;1999;165;audi;a6
207;350;1993;88;renault;r19
208;8600;2007;197;bmw;3er
209;2100;2017;0;opel;zafira
210;2222;1991;98;volkswagen;golf
211;850;1985;54;volkswagen;caddy
212;11800;2005;218;bmw;3er
213;4000;2008;115;ford;c_max
214;4650;2005;150;mercedes_benz;c_klasse
215;1450;1999;75;peugeot;2_reihe
216;900;2017;60;opel;corsa
217;800;2002;115;ford;mondeo
218;1600;2000;90;seat;cordoba
219;2800;2004;75;volkswagen;golf
220;5499;2004;122;mercedes_benz;c_klasse
221;5500;2000;170;bmw;3er
222;0;2001;115;ford;mondeo
223;1000;1982;41;suzuki;other
224;3750;2005;75;volkswagen;golf
225;1440;2003;109;lancia;other
226;1150;2000;75;renault;clio
227;15700;2011;170;volkswagen;golf
228;899;1995;102;bmw;3er
229;130;1998;0;mercedes_benz;e_klasse
230;9200;2006;150;bmw;3er
231;3350;2000;130;mercedes_benz;sprinter
232;2700;2006;75;renault;clio
233;800;2001;114;mazda;other
234;10200;2008;0;nissan;other
235;9800;2008;140;audi;a6
236;14700;2012;211;volkswagen;golf
237;1200;1997;101;volkswagen;golf
238;895;1995;75;mitsubishi;colt
239;950;1995;54;volkswagen;polo
240;8000;2006;177;subaru;impreza
241;6799;2002;286;bmw;5er
242;500;1999;56;opel;corsa
243;11919;2012;90;volkswagen;polo
244;300;1993;90;volkswagen;golf
245;10800;2010;105;audi;a1
246;650;2002;101;opel;vectra
247;800;2000;118;bmw;3er
248;1690;2001;75;volkswagen;lupo
249;3650;2004;113;renault;megane
250;4850;2009;75;citroen;berlingo
251;1450;1999;0;mercedes_benz;c_klasse
252;4500;2007;140;volkswagen;passat
253;3900;2003;131;volkswagen;passat
254;750;2000;101;volkswagen;passat
255;5900;1999;184;bmw;7er
256;1100;2000;116;volkswagen;golf
257;8400;2009;201;renault;clio
259;800;1998;75;volkswagen;golf
260;14950;2009;140;volkswagen;touran
261;14900;2004;170;bmw;z_reihe
262;2950;1998;235;bmw;5er
263;12000;2011;101;volkswagen;tiguan
264;2500;2001;150;mercedes_benz;c_klasse
265;2400;2001;115;volkswagen;golf
266;4600;2017;109;hyundai;i_reihe
267;6000;1995;286;mitsubishi;other
268;8950;2012;95;ford;fiesta
269;590;1996;0;opel;corsa
270;150;2016;75;ford;fiesta
271;18700;2009;213;ford;mustang
272;9500;2012;69;volkswagen;polo
273;11550;2009;140;volkswagen;passat
274;1250;2017;0;renault;espace
275;2400;1989;102;bmw;3er
276;16150;2011;150;volkswagen;tiguan
277;3400;2000;0;volkswagen;sharan
278;3000;2000;179;audi;tt
279;5500;2004;90;volkswagen;golf
280;2000;2004;122;mazda;6_reihe
281;300;1998;58;renault;twingo
282;890;2000;107;renault;megane
283;2390;2016;83;honda;jazz
284;1450;2017;0;mercedes_benz;a_klasse
285;1699;1999;75;opel;astra
286;2899;1996;69;mitsubishi;other
287;4800;2004;75;volkswagen;golf
288;6799;2008;174;peugeot;3_reihe
289;3400;2003;100;volkswagen;touran
290;2650;2004;125;opel;astra
291;1000;1999;107;renault;clio
292;800;1997;125;audi;a3
293;5299;2002;220;audi;a4
294;7150;2002;150;mercedes_benz;e_klasse
295;2300;2006;88;citroen;c4
296;350;2017;0;opel;corsa
297;5500;2006;140;volkswagen;golf
298;4400;1997;54;fiat;panda
299;7950;2008;140;audi;a3
300;16500;2007;265;bmw;z_reihe
301;8100;2004;170;bmw;z_reihe
302;3999;2017;85;volkswagen;transporter
303;9750;2013;75;volkswagen;up
304;7700;2009;185;mazda;3_reihe
305;2500;1999;88;peugeot;3_reihe
306;1195;1999;54;smart;fortwo
307;9790;2014;73;renault;clio
308;1849;1999;54;renault;clio
309;3300;2006;41;smart;fortwo
310;650;1991;77;volkswagen;transporter
311;2600;1998;170;toyota;other
312;11700;2008;170;mercedes_benz;other
313;600;1998;90;renault;scenic
314;4950;2009;109;hyundai;i_reihe
315;1600;2003;50;volkswagen;lupo
316;8499;2006;150;bmw;3er
317;1650;2017;0;fiat;seicento
318;1700;1999;101;volkswagen;golf
319;5750;2010;90;kia;ceed
320;600;2001;75;renault;kangoo
321;0;2005;0;volkswagen;polo
322;8700;2004;170;bmw;5er
323;1200;1999;125;mercedes_benz;c_klasse
324;18880;2014;116;mazda;5_reihe
325;11200;2008;177;bmw;5er
326;3550;1993;0;chevrolet;other
327;3900;2003;75;seat;ibiza
328;13849;2010;143;bmw;1er
329;13200;2013;105;skoda;yeti
330;2500;2001;101;skoda;fabia
331;2550;2006;54;skoda;fabia
332;3900;2006;102;skoda;octavia
333;2450;2001;231;bmw;3er
334;500;1996;45;opel;corsa
335;750;1998;90;volkswagen;passat
336;1799;1999;116;opel;zafira
337;950;1997;0;volkswagen;golf
338;8150;2012;75;seat;mii
339;3900;2004;192;mazda;rx_reihe
340;9999;2014;90;opel;corsa
341;1050;2018;0;volkswagen;golf
342;500;2001;131;ford;mondeo
343;699;1992;66;volkswagen;golf
344;999;1994;115;opel;astra
345;6250;2003;299;audi;a6
346;10000;1976;0;volkswagen;transporter
347;16500;1983;218;bmw;6er
348;6500;2007;125;ford;focus
349;1200;2016;75;renault;modus
350;1480;2000;74;volkswagen;golf
351;1490;2000;60;fiat;punto
352;3200;2008;110;opel;astra
353;3250;2003;163;audi;a6
354;3400;2006;54;volkswagen;fox
355;1100;2002;58;renault;twingo
356;1750;2002;125;opel;vectra
357;3300;2006;140;volkswagen;passat
358;1350;2005;52;chevrolet;matiz
359;8250;2012;69;fiat;panda
360;2500;2000;115;volkswagen;beetle
361;3999;2004;163;audi;a6
362;7000;2007;143;bmw;1er
363;2950;2005;131;renault;other
364;4850;2010;77;hyundai;i_reihe
365;1100;2000;60;fiat;punto
366;3600;2003;147;opel;vectra
367;7750;2009;80;volkswagen;golf
